Source,Month,Pos,Neg
CNN,1-2011,1,1
CNN,2-2011,2,2
CNN,3-2011,3,3
CNN,4-2011,4,4
CNN,5-2011,5,5
CNN,6-2011,6,6
CNN,7-2011,16,9
CNN,8-2011,0,11
CNN,9-2011,42,578
CNN,10-2011,134,559
CNN,11-2011,202,592
CNN,12-2011,190,612
CNN,1-2012,226,200
CNN,2-2012,182,554
CNN,3-2012,170,591
CNN,4-2012,186,577
CNN,5-2012,228,703
CNN,6-2012,189,655
CNN,7-2012,195,715
CNN,8-2012,194,582
CNN,9-2012,157,525
CNN,10-2012,168,383
CNN,11-2012,190,373
CNN,12-2012,193,504
CNN,1-2013,149,501
CNN,2-2013,186,523
CNN,3-2013,192,642
CNN,4-2013,196,695
CNN,5-2013,237,728
CNN,6-2013,188,689
CNN,7-2013,157,583
CNN,8-2013,195,614
CNN,9-2013,169,561
CNN,10-2013,131,548
CNN,11-2013,139,540
CNN,12-2013,136,584
CNN,1-2014,159,623
CNN,2-2014,142,484
CNN,3-2014,106,392
CNN,4-2014,140,534
CNN,5-2014,129,486
CNN,6-2014,130,650
CNN,7-2014,104,514
CNN,8-2014,120,541
CNN,9-2014,135,568
CNN,10-2014,119,692
CNN,11-2014,110,529
CNN,12-2014,97,622
CNN,1-2015,161,605
CNN,2-2015,128,599
CNN,3-2015,161,701
CNN,4-2015,187,716
CNN,5-2015,182,665
CNN,6-2015,127,803
CNN,7-2015,206,782
CNN,8-2015,192,753
CNN,9-2015,163,669
CNN,10-2015,155,658
CNN,11-2015,129,496
CNN,12-2015,158,633
CNN,1-2016,147,500
CNN,2-2016,129,442
CNN,3-2016,130,416
CNN,4-2016,139,426
CNN,5-2016,114,413
CNN,6-2016,140,465
CNN,7-2016,128,475
CNN,8-2016,107,355
CNN,9-2016,145,462
CNN,10-2016,124,321
CNN,11-2016,122,316
CNN,12-2016,112,350
CNN,1-2017,119,331
CNN,2-2017,122,319
CNN,3-2017,142,370
CNN,4-2017,136,395
CNN,5-2017,145,397
CNN,6-2017,171,398
CNN,7-2017,148,377
CNN,8-2017,136,457
CNN,9-2017,142,334
CNN,10-2017,164,440
CNN,11-2017,128,357
CNN,12-2017,121,322
CNN,1-2018,14,37
CNN,2-2018,188,469
CNN,3-2018,230,538
CNN,4-2018,172,485
CNN,5-2018,173,565
CNN,6-2018,165,537
CNN,7-2018,139,449
CNN,8-2018,184,523
CNN,9-2018,137,392
CNN,10-2018,177,384
CNN,11-2018,170,440
CNN,12-2018,158,424
CNN,1-2019,201,383
CNN,2-2019,0,0
CNN,3-2019,185,417
CNN,4-2019,266,578
CNN,5-2019,280,657
CNN,6-2019,299,732
CNN,7-2019,350,887
CNN,8-2019,316,832
CNN,9-2019,300,780
CNN,10-2019,332,812
CNN,11-2019,196,491
CNN,12-2019,25,49